UNDERLYING,Symbol,lot size,Sector,,,
360 ONE WAM LIMITED                 ,360ONE,500,Financial Services,,,
ABB INDIA LIMITED                   ,ABB,125,Capital Goods,,,
ADITYA BIRLA CAPITAL LTD.           ,ABCAPITAL,3100,Financial Services,,,
ADANI ENERGY SOLUTION LTD           ,ADANIENSOL,675,Power,,,
ADANI ENTERPRISES LIMITED           ,ADANIENT,309,Metals & Mining,,,
ADANI GREEN ENERGY LTD              ,ADANIGREEN,600,Power,,,
ADANI PORT & SEZ LTD                ,ADANIPORTS,475,Services,,,
ADANI POWER LTD                     ,ADANIPOWER,3550,Power,,,
ALKEM LABORATORIES LTD.             ,ALKEM,125,Healthcare,,,
AMBER ENTERPRISES (I) LTD           ,AMBER,100,Consumer Durables,,,
AMBUJA CEMENTS LTD                  ,AMBUJACEM,1200,Construction Materials,,,
ANGEL ONE LIMITED                   ,ANGELONE,2500,Financial Services,,,
APL APOLLO TUBES LTD                ,APLAPOLLO,350,Capital Goods,,,
APOLLO HOSPITALS ENTER. L           ,APOLLOHOSP,125,Healthcare,,,
ASHOK LEYLAND LTD                   ,ASHOKLEY,5000,Capital Goods,,,
ASIAN PAINTS LIMITED                ,ASIANPAINT,250,Consumer Durables,,,
ASTRAL LIMITED                      ,ASTRAL,425,Capital Goods,,,
AU SMALL FINANCE BANK LTD           ,AUBANK,1000,Financial Services,,,
AUROBINDO PHARMA LTD                ,AUROPHARMA,550,Healthcare,,,
AXIS BANK LIMITED                   ,AXISBANK,625,Financial Services,,,
BAJAJ AUTO LIMITED                  ,BAJAJ-AUTO,75,Automobile and Auto Components,,,
BAJAJ FINSERV LTD.                  ,BAJAJFINSV,300,Financial Services,,,
BAJAJ HOLDINGS & INVS LTD           ,BAJAJHLDNG,75,Financial Services,,,
BAJAJ FINANCE LIMITED               ,BAJFINANCE,750,Financial Services,,,
BANDHAN BANK LIMITED                ,BANDHANBNK,3600,Financial Services,,,
BANK OF BARODA                      ,BANKBARODA,2925,Financial Services,,,
BANK OF INDIA                       ,BANKINDIA,5200,Financial Services,,,
BHARAT DYNAMICS LIMITED             ,BDL,425,Capital Goods,,,
BHARAT ELECTRONICS LTD              ,BEL,1425,Capital Goods,,,
BHARAT FORGE LTD                    ,BHARATFORG,500,Automobile and Auto Components,,,
BHARTI AIRTEL LIMITED               ,BHARTIARTL,475,Telecommunication,,,
BHEL                                ,BHEL,2625,Capital Goods,,,
BIOCON LIMITED.                     ,BIOCON,2500,Healthcare,,,
BLUE STAR LIMITED                   ,BLUESTARCO,325,Consumer Durables,,,
BOSCH LIMITED                       ,BOSCHLTD,25,Automobile and Auto Components,,,
BHARAT PETROLEUM CORP  LT           ,BPCL,1975,Oil Gas & Consumable Fuels,,,
BRITANNIA INDUSTRIES LTD            ,BRITANNIA,125,Fast Moving Consumer Goods,,,
BSE LIMITED                         ,BSE,200,Financial Services,,,
COMPUTER AGE MNGT SER LTD           ,CAMS,825,Financial Services,,,
CANARA BANK                         ,CANBK,6750,Financial Services,,,
CENTRAL DEPO SER (I) LTD            ,CDSL,475,Financial Services,,,
CG POWER AND IND SOL LTD            ,CGPOWER,850,Capital Goods,,,
CHOLAMANDALAM IN & FIN CO           ,CHOLAFIN,625,Financial Services,,,
CIPLA LTD                           ,CIPLA,425,Healthcare,,,
COAL INDIA LTD                      ,COALINDIA,1350,Oil Gas & Consumable Fuels,,,
COCHIN SHIPYARD LIMITED             ,COCHINSHIP,400,Capital Goods,,,
COFORGE LIMITED                     ,COFORGE,475,Information Technology,,,
COLGATE PALMOLIVE LTD.              ,COLPAL,275,Fast Moving Consumer Goods,,,
CONTAINER CORP OF IND LTD           ,CONCOR,1250,Services,,,
CROMPT GREA CON ELEC LTD            ,CROMPTON,2150,Consumer Durables,,,
CUMMINS INDIA LTD                   ,CUMMINSIND,200,Capital Goods,,,
DABUR INDIA LTD                     ,DABUR,1250,Fast Moving Consumer Goods,,,
DALMIA BHARAT LIMITED               ,DALBHARAT,325,Construction Materials,,,
DELHIVERY LIMITED                   ,DELHIVERY,2075,Services,,,
DIVI S LABORATORIES LTD             ,DIVISLAB,100,Healthcare,,,
DIXON TECHNO (INDIA) LTD            ,DIXON,50,Consumer Durables,,,
DLF LIMITED                         ,DLF,950,Realty,,,
AVENUE SUPERMARTS LIMITED           ,DMART,150,Consumer Services,,,
DR. REDDY S LABORATORIES            ,DRREDDY,625,Healthcare,,,
EICHER MOTORS LTD                   ,EICHERMOT,100,Automobile and Auto Components,,,
ETERNAL LIMITED                     ,ETERNAL,2425,Consumer Services,,,
EXIDE INDUSTRIES LTD                ,EXIDEIND,1800,Automobile and Auto Components,,,
FEDERAL BANK LTD                    ,FEDERALBNK,2500,Financial Services,,,
FORCE MOTORS LIMITED                ,FORCEMOT,25,Automobile and Auto Components,,,
FORTIS HEALTHCARE LTD               ,FORTIS,775,Healthcare,,,
GAIL (INDIA) LTD                    ,GAIL,3550,Oil Gas & Consumable Fuels,,,
GLENMARK PHARMACEUTICALS            ,GLENMARK,375,Healthcare,,,
GMR AIRPORTS LIMITED                ,GMRAIRPORT,6975,Services,,,
GODFREY PHILLIPS INDIA LT           ,GODFRYPHLP,275,Fast Moving Consumer Goods,,,
GODREJ CONSUMER PRODUCTS            ,GODREJCP,500,Fast Moving Consumer Goods,,,
GODREJ PROPERTIES LTD               ,GODREJPROP,325,Realty,,,
GRASIM INDUSTRIES LTD               ,GRASIM,250,Construction Materials,,,
GE VERNOVA T&D INDIA LTD            ,GVT&D,125,Capital Goods,,,
HINDUSTAN AERONAUTICS LTD           ,HAL,150,Capital Goods,,,
HAVELLS INDIA LIMITED               ,HAVELLS,500,Consumer Durables,,,
HCL TECHNOLOGIES LTD                ,HCLTECH,400,Information Technology,,,
HDFC AMC LIMITED                    ,HDFCAMC,300,Financial Services,,,
HDFC BANK LTD                       ,HDFCBANK,650,Financial Services,,,
HDFC LIFE INS CO LTD                ,HDFCLIFE,1100,Financial Services,,,
HERO MOTOCORP LIMITED               ,HEROMOTOCO,150,Automobile and Auto Components,,,
HINDALCO  INDUSTRIES  LTD           ,HINDALCO,700,Metals & Mining,,,
HINDUSTAN PETROLEUM CORP            ,HINDPETRO,2025,Oil Gas & Consumable Fuels,,,
HINDUSTAN UNILEVER LTD.             ,HINDUNILVR,300,Fast Moving Consumer Goods,,,
HINDUSTAN ZINC LIMITED              ,HINDZINC,1225,Metals & Mining,,,
HYUNDAI MOTOR INDIA LTD             ,HYUNDAI,275,Automobile and Auto Components,,,
ICICI BANK LTD.                     ,ICICIBANK,700,Financial Services,,,
ICICI LOMBARD GIC LIMITED           ,ICICIGI,325,Financial Services,,,
ICICI PRU LIFE INS CO LTD           ,ICICIPRULI,925,Financial Services,,,
VODAFONE IDEA LIMITED               ,IDEA,71475,Telecommunication,,,
IDFC FIRST BANK LIMITED             ,IDFCFIRSTB,9275,Financial Services,,,
INDIAN ENERGY EXC LTD               ,IEX,4350,Financial Services,,,
THE INDIAN HOTELS CO. LTD           ,INDHOTEL,1000,Consumer Services,,,
INDIAN BANK                         ,INDIANB,1000,Financial Services,,,
INTERGLOBE AVIATION LTD             ,INDIGO,150,Services,,,
INDUSIND BANK LIMITED               ,INDUSINDBK,700,Financial Services,,,
INDUS TOWERS LIMITED                ,INDUSTOWER,1700,Telecommunication,,,
INFOSYS LIMITED                     ,INFY,400,Information Technology,,,
INOX WIND LIMITED                   ,INOXWIND,6400,Capital Goods,,,
INDIAN OIL CORP LTD                 ,IOC,4875,Oil Gas & Consumable Fuels,,,
INDIAN RENEWABLE ENERGY             ,IREDA,4525,Financial Services,,,
INDIAN RAILWAY FIN CORP L           ,IRFC,5425,Financial Services,,,
ITC LTD                             ,ITC,1725,Fast Moving Consumer Goods,,,
JINDAL STEEL LIMITED                ,JINDALSTEL,625,Metals & Mining,,,
JIO FIN SERVICES LTD                ,JIOFIN,2350,Financial Services,,,
JSW ENERGY LIMITED                  ,JSWENERGY,1075,Power,,,
JSW STEEL LIMITED                   ,JSWSTEEL,675,Metals & Mining,,,
JUBILANT FOODWORKS LTD              ,JUBLFOOD,1250,Consumer Services,,,
KALYAN JEWELLERS IND LTD            ,KALYANKJIL,1350,Consumer Durables,,,
KAYNES TECHNOLOGY IND LTD           ,KAYNES,150,Capital Goods,,,
KEI INDUSTRIES LTD.                 ,KEI,175,Capital Goods,,,
KFIN TECHNOLOGIES LIMITED           ,KFINTECH,575,Financial Services,,,
KOTAK MAHINDRA BANK LTD             ,KOTAKBANK,2000,Financial Services,,,
KPIT TECHNOLOGIES LIMITED           ,KPITTECH,775,Information Technology,,,
LAURUS LABS LIMITED                 ,LAURUSLABS,850,Healthcare,,,
LIC HOUSING FINANCE LTD             ,LICHSGFIN,1000,Financial Services,,,
LIFE INSURA CORP OF INDIA           ,LICI,1400,Financial Services,,,
LODHA DEVELOPERS LIMITED            ,LODHA,625,Realty,,,
LARSEN & TOUBRO LTD.                ,LT,175,Construction,,,
L&T FINANCE LIMITED                 ,LTF,2250,Financial Services,,,
LTM LIMITED                         ,LTM,150,Information Technology,,,
LUPIN LIMITED                       ,LUPIN,425,Healthcare,,,
MAHINDRA & MAHINDRA LTD             ,M&M,200,Automobile and Auto Components,,,
MANAPPURAM FINANCE LTD              ,MANAPPURAM,3000,Financial Services,,,
MANKIND PHARMA LIMITED              ,MANKIND,250,Healthcare,,,
MARICO LIMITED                      ,MARICO,1200,Fast Moving Consumer Goods,,,
MARUTI SUZUKI INDIA LTD.            ,MARUTI,50,Automobile and Auto Components,,,
MAX HEALTHCARE INS LTD              ,MAXHEALTH,525,Healthcare,,,
MAZAGON DOCK SHIPBUIL LTD           ,MAZDOCK,225,Capital Goods,,,
MULTI COMMODITY EXCHANGE            ,MCX,225,Financial Services,,,
MAX FINANCIAL SERV LTD              ,MFSL,400,Financial Services,,,
SAMVRDHNA MTHRSN INTL LTD           ,MOTHERSON,6150,Automobile and Auto Components,,,
MOTILAL OSWAL FIN LTD               ,MOTILALOFS,775,Financial Services,,,
MPHASIS LIMITED                     ,MPHASIS,275,Information Technology,,,
MUTHOOT FINANCE LIMITED             ,MUTHOOTFIN,275,Financial Services,,,
NIPPON L I A M LTD                  ,NAM-INDIA,625,Financial Services,,,
NATIONAL ALUMINIUM CO LTD           ,NATIONALUM,1875,Metals & Mining,,,
INFO EDGE (I) LTD                   ,NAUKRI,550,Consumer Services,,,
NBCC (INDIA) LIMITED                ,NBCC,6500,Construction,,,
NESTLE INDIA LIMITED                ,NESTLEIND,500,Fast Moving Consumer Goods,,,
NHPC LTD                            ,NHPC,6950,Power,,,
NMDC LTD.                           ,NMDC,6750,Metals & Mining,,,
NTPC LTD                            ,NTPC,1500,Power,,,
NUVAMA WEALTH MANAGE LTD            ,NUVAMA,500,Financial Services,,,
FSN E COMMERCE VENTURES             ,NYKAA,3125,Consumer Services,,,
OBEROI REALTY LIMITED               ,OBEROIRLTY,350,Realty,,,
ORACLE FIN SERV SOFT LTD.           ,OFSS,100,Information Technology,,,
OIL INDIA LTD                       ,OIL,1400,Oil Gas & Consumable Fuels,,,
OIL AND NATURAL GAS CORP.           ,ONGC,2250,Oil Gas & Consumable Fuels,,,
PAGE INDUSTRIES LTD                 ,PAGEIND,20,Textiles,,,
PATANJALI FOODS LIMITED             ,PATANJALI,1075,Fast Moving Consumer Goods,,,
ONE 97 COMMUNICATIONS LTD           ,PAYTM,725,Financial Services,,,
PERSISTENT SYSTEMS LTD              ,PERSISTENT,125,Information Technology,,,
PETRONET LNG LIMITED                ,PETRONET,1900,Oil Gas & Consumable Fuels,,,
POWER FIN CORP LTD.                 ,PFC,1300,Financial Services,,,
PG ELECTROPLAST LTD                 ,PGEL,950,Consumer Durables,,,
THE PHOENIX MILLS LTD               ,PHOENIXLTD,350,Realty,,,
PIDILITE INDUSTRIES LTD             ,PIDILITIND,500,Chemicals,,,
PI INDUSTRIES LTD                   ,PIIND,175,Chemicals,,,
PUNJAB NATIONAL BANK                ,PNB,8000,Financial Services,,,
PNB HOUSING FIN LTD.                ,PNBHOUSING,650,Financial Services,,,
PB FINTECH LIMITED                  ,POLICYBZR,350,Financial Services,,,
POLYCAB INDIA LIMITED               ,POLYCAB,125,Capital Goods,,,
POWER GRID CORP. LTD.               ,POWERGRID,1900,Power,,,
HITACHI ENERGY INDIA LTD            ,POWERINDIA,25,Capital Goods,,,
PREMIER ENERGIES LIMITED            ,PREMIERENE,650,Capital Goods,,,
PRESTIGE ESTATE LTD                 ,PRESTIGE,450,Realty,,,
RADICO KHAITAN LTD                  ,RADICO,150,Fast Moving Consumer Goods,,,
RBL BANK LIMITED                    ,RBLBANK,3175,Financial Services,,,
REC LIMITED                         ,RECLTD,1575,Financial Services,,,
RELIANCE INDUSTRIES LTD             ,RELIANCE,500,Oil Gas & Consumable Fuels,,,
RAIL VIKAS NIGAM LIMITED            ,RVNL,1925,Construction,,,
STEEL AUTHORITY OF INDIA            ,SAIL,4700,Metals & Mining,,,
SBI CARDS & PAY SER LTD             ,SBICARD,800,Financial Services,,,
SBI LIFE INSURANCE CO LTD           ,SBILIFE,375,Financial Services,,,
STATE BANK OF INDIA                 ,SBIN,750,Financial Services,,,
SHREE CEMENT LIMITED                ,SHREECEM,25,Construction Materials,,,
SHRIRAM FINANCE LIMITED             ,SHRIRAMFIN,825,Financial Services,,,
SIEMENS LTD                         ,SIEMENS,175,Capital Goods,,,
SOLAR INDUSTRIES (I) LTD            ,SOLARINDS,50,Chemicals,,,
SONA BLW PRECISION FRGS L           ,SONACOMS,1225,Automobile and Auto Components,,,
SRF LTD                             ,SRF,200,Chemicals,,,
SUN PHARMACEUTICAL IND L            ,SUNPHARMA,350,Healthcare,,,
SUPREME INDUSTRIES LTD              ,SUPREMEIND,175,Capital Goods,,,
SUZLON ENERGY LIMITED               ,SUZLON,12700,Capital Goods,,,
SWIGGY LIMITED                      ,SWIGGY,1825,Consumer Services,,,
TATA CONSUMER PRODUCT LTD           ,TATACONSUM,550,Fast Moving Consumer Goods,,,
TATA ELXSI LIMITED                  ,TATAELXSI,125,Information Technology,,,
TATA POWER CO LTD                   ,TATAPOWER,1450,Power,,,
TATA STEEL LIMITED                  ,TATASTEEL,2750,Metals & Mining,,,
TATA CONSULTANCY SERV LT            ,TCS,225,Information Technology,,,
TECH MAHINDRA LIMITED               ,TECHM,600,Information Technology,,,
TUBE INVEST OF INDIA LTD            ,TIINDIA,200,Automobile and Auto Components,,,
TITAN COMPANY LIMITED               ,TITAN,175,Consumer Durables,,,
TATA MOTORS PASS VEH LTD            ,TMPV,1600,Automobile and Auto Components,,,
TORRENT PHARMACEUTICALS L           ,TORNTPHARM,125,Healthcare,,,
TRENT LTD                           ,TRENT,225,Consumer Services,,,
TVS MOTOR COMPANY  LTD              ,TVSMOTOR,175,Automobile and Auto Components,,,
ULTRATECH CEMENT LIMITED            ,ULTRACEMCO,50,Construction Materials,,,
UNION BANK OF INDIA                 ,UNIONBANK,4425,Financial Services,,,
UNITED SPIRITS LIMITED              ,UNITDSPR,400,Fast Moving Consumer Goods,,,
UNO MINDA LIMITED                   ,UNOMINDA,550,Automobile and Auto Components,,,
UPL LIMITED                         ,UPL,1355,Chemicals,,,
VARUN BEVERAGES LIMITED             ,VBL,1275,Fast Moving Consumer Goods,,,
VEDANTA LIMITED                     ,VEDL,1150,Metals & Mining,,,
VISHAL MEGA MART LIMITED            ,VMM,4850,Consumer Services,,,
VOLTAS LTD                          ,VOLTAS,375,Consumer Durables,,,
WAAREE ENERGIES LIMITED             ,WAAREEENER,175,Capital Goods,,,
WIPRO LTD                           ,WIPRO,3000,Information Technology,,,
YES BANK LIMITED                    ,YESBANK,31100,Financial Services,,,
ZYDUS LIFESCIENCES LTD              ,ZYDUSLIFE,900,Healthcare,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,#REF!
